movietitle,year
George A. Romero's Land of the Dead,2005
George A. Romero's Land of the Dead,2005
George A. Romero's Land of the Dead,2005
Blindness,2008
Blindness,2008
Blindness,2008
George A. Romero's Land of the Dead,2005
Blindness,2009
George A. Romero's Land of the Dead,2005
C.R.A.Z.Y.,2006
C.R.A.Z.Y.,2008
Blindness,2008
Blindness,2008
Deep Sea 3-D (IMAX),2006
C.R.A.Z.Y.,2006
Blindness,2009
Blindness,2008
George A. Romero's Land of the Dead,2005
Blindness,2009
Blindness,2008
Blindness,2008
Deep Sea 3-D (IMAX),2007
George A. Romero's Land of the Dead,2005
C.R.A.Z.Y.,2007
Blindness,2009
George A. Romero's Land of the Dead,2005
Blindness,2009
Blindness,2008
George A. Romero's Land of the Dead,2005
George A. Romero's Land of the Dead,2005
Blindness,2009
Blindness,2008
Deep Sea 3-D (IMAX),2008
George A. Romero's Land of the Dead,2005
Blindness,2008
Deep Sea 3-D (IMAX),2009
George A. Romero's Land of the Dead,2005
George A. Romero's Land of the Dead,2005
Blindness,2009
George A. Romero's Land of the Dead,2005
George A. Romero's Land of the Dead,2005
C.R.A.Z.Y.,2009
Blindness,2008
Deep Sea 3-D (IMAX),2006
Blindness,2009
3 Needles,2008
Blindness,2008
George A. Romero's Land of the Dead,2005
George A. Romero's Land of the Dead,2005
George A. Romero's Land of the Dead,2005
C.R.A.Z.Y.,2006
Blindness,2008
George A. Romero's Land of the Dead,2005
Blindness,2008
Blindness,2008
Blindness,2010
3 Needles,2007
Blindness,2008
Once,2007
Once,2008
Garage (2007),2009
Once,2007
Once,2007
Once,2007
Once,2008
Once,2008
Once,2008
Once,2007
Once,2008
Once,2008
Once,2008
Once,2007
Once,2007
Garage (2007),2007
Once,2008
Once,2008
Garage (2007),2008
Once,2008
Once,2007
Once,2008
Garage (2007),2008
Once,2008
Once,2007
Once,2008
Once,2008
Garage (2007),2008
Once,2008
Once,2008
Garage (2007),2008
Once,2007
Vitus,2008
Vitus,2008
Vitus,2007
Vitus,2007
Vitus,2006
Vitus,2007
Vitus,2008
Vitus,2009
Vitus,2009
Vitus,2007
Vitus,2008
Vitus,2008
Vitus,2007
Vitus,2007
Bad Teacher,2011
I Love You Man,2009
Hellboy II: The Golden Army,2008
Up the Yangtze,2008
Gwoemul (The Host),2006
Le Serpent,2007
Tower Heist,2011
Vals Im Bashir (Waltz with Bashir),2009
Dark Shadows,2012
The Mist,2008
La Última mirada,2007
Solstorm,2008
Lilo & Stitch,2002
Coraline,2009
The Duchess,2009
Hitch,2005
Face Addict,2005
Deck the Halls,2006
Arthur Christmas,2011
Fast and Furious,2009
Flickan som lekte med elden,2009
Cursed,2005
The Aviator,2005
Soul Survivors,2001
Igor,2008
Kaméleon,2011
Tera Mera Ki Rishta,2009
Wimbledon,2005
The Switch,2010
Breakaway,2011
Role Models,2008
The Matrix Reloaded,2003
Blonde Ambition,2009
Crank: High Voltage,2009
Hope Springs,2012
Collateral Damage,2002
The Claim,2001
Last Chance Harvey,2009
Control (2007),2008
Swimming Pool - Der Tod feiert mit,2003
TMNT,2007
Tôkyô sonata,2008
Taboo (Gohatto),2002
Spirit: Stallion of the Cimarron,2002
Next,2007
Journey 2: The Mysterious Island,2012
Venus Boyz,2002
Rango,2011
The Eagle,2011
"I Love You, Phillip Morris",2010
Halloween (2007),2007
Fados (2007),2007
I Love You Too,2010
Basic Instinct 2,2006
The Jane Austen Book Club,2008
Harry Potter and the Order of the Phoenix,2007
The Dukes of Hazzard,2005
Korkoro (Liberte),2010
Bad Education (La Mala educación),2004
The Ruins,2008
Dr. Seuss' The Lorax,2012
Et si on vivait tous ensemble?,2012
Somers Town,2008
What's Your Number?,2012
Habitación en Roma (Room in Rome),2010
Den' D,2008
Liam,2001
The Abandoned,2008
Voleurs de chevaux,2007
The Three Musketeers (2011),2011
Don't Come Knocking,2006
Come Undone (2010),2010
The Kids Are All Right,2011
Fu Zi (After This Our Exile),2007
Creep,2005
Baby Mama,2009
Cobardes,2010
Elina,2003
Elizabeth: The Golden Age,2008
The Polar Express,2004
Dva v odnom (Two in One),2007
Halt auf freier Strecke,2012
Drillbit Taylor,2008
Get Him to the Greek,2010
Les Fils du vent,2004
Le nom des gens (The Names of Love),2011
The Killer Inside Me,2010
Svinalängorna (Beyond),2010
Spanglish,2006
Underworld Awakening,2012
Here Comes the Boom,2012
Aguas Tibias Bajo un Puente...,2002
La guerre est déclarée (Declaration of War),2012
Uno,2012
Oranges and Sunshine,2011
Puisque nous sommes nés,2009
Billa 2,2012
Treasure Planet,2002
Vilaine,2008
The Woman in Black,2012
Les femmes du 6ème étage,2012
Talk to Her (Hable con ella),2002
The Lucky One,2012
Män som hatar kvinnor (The Girl with the Dragon Tattoo),2009
Waitress,2007
Dracula 2000,2001
Reprise (2006),2008
Cats and Dogs,2001
When a Stranger Calls,2006
New York,2009
Stealth,2005
Faster,2011
Toonpur Ka Superhero,2010
Santa's Apprentice,2010
Bride Wars,2009
300,2007
High Crimes,2002
Space Chimps 2: Zartog Strikes Back,2010
Bewitched,2005
Fei Cheng Wu Rao (If You Are the One),2009
Angels & Demons,2009
The Animation Show,2005
Barely Legal,2005
La Playa de los Galgos,2002
Grown Ups,2010
MIB 3,2012
Saw 3D,2010
Shooter,2007
Angels & Demons,2009
The Pursuit of Happyness,2007
The Hitcher (2007),2007
Vicky Cristina Barcelona,2008
El Cantante,2007
Zack and Miri Make a Porno,2009
Collateral,2004
Ghost on Air,2012
Flickan som lekte med elden,2009
Across the Universe,2008
The Beaches of Agnes,2012
Who Killed the Electric Car?,2006
Apocalypto,2007
Joueuse,2011
I'm Not There,2008
Burlesque,2011
Be Cool,2005
Forgetting Sarah Marshall,2008
The In-Laws,2004
Nowhere,2002
Inglourious Basterds,2009
Never Back Down,2008
Management,2009
Far Jag Lov - Till Den Sista Dansen?,2008
The Soul of Bread,2012
Bandslam,2009
Mistérios de Lisboa (Mysteries of Lisbon),2011
Couleur de peau: Miel,2012
Lang-Lok-Loarn (Black Night),2006
CSA: The Confederate States of America,2005
Act of Valor,2012
Happily N'Ever After,2007
Snow Cake,2006
Morfi,2008
The Descent: Part 2,2011
800 balas,2003
Danse avec lui,2007
"Precious: Based on the Novel ""Push"" by Sapphire",2010
Mister Lonely,2008
Fever Pitch,2005
Shadow Dancer,2012
Oglum bak git,2012
A Little Bit of Heaven,2011
The Beaver,2011
Mademoiselle Chambon,2011
Beowulf,2007
Bambi II,2006
En ganske snill mann (A Somewhat Gentle Man),2011
Big Stan,2008
Into the Wild,2008
Les amours imaginaires (Heartbeats),2011
Emmas Glück,2006
Fred Claus,2007
Diverso da chi?,2011
I Am Love,2010
Abril Despedaçado (Behind the Sun),2002
Niko - Lentäjän poika (Niko & The Way to the Stars),2008
Tashan,2008
Journey 2: The Mysterious Island,2012
Star Trek,2009
Yes Man,2009
The Girl with the Dragon Tattoo (2011),2012
Post Mortem,2010
Robin Hood,2010
Les Animaux amoureux,2008
Glyanets (Gloss),2007
Silent House,2012
Rush Hour 3,2007
Superbad,2007
"The Taking of Pelham One, Two, Three",2009
The Mill and the Cross,2012
Zizek!,2007
The Echo,2009
"Paris, je t'aime",2008
Ellie Parker,2005
Hasta la Vista!,2012
The Unborn (2009),2009
Titus,2003
3 (Three),2011
Your Sister's Sister,2012
The Last Mimzy,2007
Phone Booth,2003
Bad Company,2006
Seres queridos,2005
A Serious Man,2010
The International,2009
Universal Soldier: Regeneration,2010
Below,2004
My Own Love Song,2011
Forgetting Sarah Marshall,2008
Versailles,2009
The Informant,2009
Rango,2011
Black Sheep (2007),2008
Roll Bounce,2005
Kickin' It Old Skool,2007
La Vie Promise,2004
Murderball,2007
My Best Bodyguard,2010
A Cinderella Story,2004
The Mist,2008
Our Lady of the Assassins,2001
Talladega Nights: The Ballad of Ricky Bobby,2006
The Wedding Video,2012
Desert Flower,2010
Vicky Cristina Barcelona,2008
Lymelife,2009
Sex and the City 2,2010
Immortals,2011
Man on Fire,2004
Chun feng chen zui de ye wan (Spring Fever),2010
Ned Kelly,2004
Closed Note,2007
Shackleton's Antarctic Adventure (IMAX),2001
Le Renard et l'enfant (The Fox and the Child),2008
Evangerion shin gekijôban: Jo (Evangelion: 1.0 You Are (Not) Alone),2007
Phii khon pen (The Victim),2007
A Home at the End of the World,2004
The Magic Flute,2006
L'Esquive,2004
The Twilight Saga: New Moon,2009
Shrek Forever After,2010
Make It Happen,2009
Miss Potter,2007
Chasing Papi,2003
Valkyrie,2009
Transformers 3,2011
XXX,2002
Woody Allen: A Documentary,2012
Sylvia,2004
Die Hohle des gelben Hundes (Cave of the Yellow Dog),2005
Divorces!,2009
Ray,2005
Torrente 4,2011
Brüno,2009
Kiraware Matsuko no isshô (Memories of Matsuko),2006
Below,2003
Camp,2005
Poltergay,2007
King Arthur,2004
Alvin and the Chipmunks: The Squeakquel,2009
As You Like It,2007
Unstoppable,2011
Blitz,2012
Shooter,2007
Capturing the Friedmans,2004
Hotel Rwanda,2005
Gone,2012
Colombiana,2011
Immortals,2011
"The Taking of Pelham One, Two, Three",2009
"I, Anna",2012
The Polar Express,2004
Rocky Balboa,2007
The Dark,2007
Twilight,2009
Knowing,2009
Le Scaphandre et le papillon (The Diving Bell and the Butterfly),2008
W.E.,2012
Micmacs à tire-larigot,2010
Bridge to Terabithia,2008
Arthur Christmas,2011
Salt,2010
Van Helsing,2004
Black Sheep (2007),2007
Idlewild,2006
Das Sams,2002
4.3.2.1,2010
Je crois que je l'aime,2007
A Nightmare on Elm Street (2010),2010
Romanzo criminale,2006
Bridget Jones: The Edge of Reason,2004
7 días en La Habana,2012
Warrior,2011
The Iron Lady,2012
Beauty and the Beast (IMAX),2002
Jack and Jill,2012
Obsessed,2009
Get Smart,2008
Los Muertos,2004
The Santa Clause 2,2002
The Hitcher (2007),2007
Yuva,2004
Mamma Mia!,2008
Soul Power,2009
Chugyeogja (The Chaser),2008
Leaves of Grass,2010
Million Dollar Baby,2005
Street Fighter: The Legend of Chun-Li,2009
The Twilight Saga: Eclipse,2010
The Reaping,2007
Dinner for Schmucks,2010
Australia,2008
Nepobedimyy (Unbeatable),2008
Captivity,2007
Séraphine,2009
Ne le dis à personne (Tell No One),2007
11/11/2011,2012
The Libertine,2006
Goya's Ghosts,2007
Captivity,2007
"Aanrijding in Moscou (Moscow, Belgium)",2008
One Piece Film: Strong World,2010
Taking Woodstock,2009
The Polar Express (IMAX re-issue 2006),2007
El Cuerno de la abundancia,2008
Sleeping Dogs Lie (a.k.a Stay),2007
Where the Truth Lies,2005
Tabloid,2011
Paul Blart: Mall Cop,2009
Ray,2005
Xiong mao hui jia lu (Touch of the Panda),2009
Roger Dodger,2004
Haywire,2012
How to Train Your Dragon,2010
Pirates of the Caribbean: At World's End,2007
Boogeyman,2005
Are We There Yet?,2005
Herkes Mi Aldatýr?,2010
Green Lantern,2011
The Amityville Horror (2005),2006
What's Your Number?,2011
The Mexican,2001
Horrible Bosses,2011
Les herbes folles (Wild Grass),2010
Chernobyl Diaries,2012
Arthur Christmas,2011
The Polar Express (IMAX re-issue 2006),2006
Fun with Dick and Jane,2006
Paranormal Activity 2,2010
Vidal Sassoon: The Movie,2011
Voleurs de chevaux,2008
Elle s'appelait Sarah,2011
Alvin and the Chipmunks: The Squeakquel,2010
Deewaar,2004
Catch Me If You Can,2003
Ot vinta 3D,2012
Waar is het paard van Sinterklaas?,2007
Paranoid Park,2007
Love and Other Drugs,2011
Surrogates,2009
Zodiac,2007
Indiana Jones and the Kingdom of the Crystal Skull,2008
Gantz: Perfect Answer,2011
The Road,2010
The Cooler,2004
Like Crazy,2012
Aliens in the Attic,2009
Remember Me,2010
Restless (2011),2011
The Twilight Saga: Breaking Dawn Part 1,2011
Envy,2004
Talladega Nights: The Ballad of Ricky Bobby,2006
Keeping Up with the Steins,2006
P.S. I Love You,2008
Because I Said So,2007
Happily N'Ever After,2007
Iris,2002
Diary of a Wimpy Kid: Dog Days,2012
Tattoo,2002
Un bonheur n'arrive jamais seul,2012
Lords of Dogtown,2005
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,2008
Flypaper,2012
Secretary,2003
The Messengers,2007
360,2012
The Dukes of Hazzard,2005
Resident Evil: Extinction,2007
The Way Back,2011
Zombieland,2009
Las Horas del día,2003
The Woman in Black,2012
Le Nouveau protocole,2008
Juwanna Mann,2002
The Campaign,2012
Les Rivières pourpres 2 - Les anges de l'apocalypse,2004
Hush (2009),2009
"Mord ist mein Geschäft, Liebling",2009
Neuk-dae-so-nyeon (A Werewolf Boy),2012
Smart People,2008
Asterix et Obelix: Mission Cleopatra,2002
Afterwards,2011
Le refuge,2010
Closer,2004
The Prime Gig,2002
21 Jump Street,2012
Paul Blart: Mall Cop,2009
Transformers 3,2011
Le Fils (The Son),2002
The Young Victoria,2009
Cashback,2008
Saw 3D,2010
The Muppets,2012
The Mist,2009
Steal This Movie,2002
Killing Me Softly,2003
The Abandoned,2007
The Flowers of War,2012
Date Night,2010
The City of Your Final Destination,2010
Dark Shadows,2012
Mademoiselle Chambon,2009
Les Choristes (The Chorus),2004
"Angus, Thongs and Perfect Snogging",2008
Into the Abyss,2011
Erase una vez...,2002
Before the Devil Knows You're Dead,2008
Zanan-e bedun-e mardan (Women Without Men),2010
Sleeping Beauty (2011) (II),2011
Populaire,2012
Leiutajateküla Lotte,2008
Syriana,2006
In the Valley of Elah,2008
Hotel Rwanda,2005
"You, Me and Dupree",2006
21 Jump Street,2012
The Santa Clause 2,2002
King Kong,2005
Big Fish,2004
Inception,2010
Thumbsucker,2006
"Paris, je t'aime",2007
Enter the Void,2010
Margin Call,2012
Little Fockers,2010
Larry Crowne,2011
Oldboy,2004
Les Poupées russes (Russian Dolls),2006
A Sound of Thunder,2005
The Karate Kid,2010
ATM,2012
Safe (2012),2012
Smother,2010
Jason X,2002
Kirschblüten - Hanami (Cherry Blossoms),2009
Insidious,2011
Hannibal Rising,2008
Puss in Boots,2011
Sex Drive,2009
Always Kabhi Kabhi,2011
3 (Three),2012
Chuzhaya (The Alien Girl),2010
Atonement,2008
Zookeeper,2011
Saam gwok dzi gin lung se gap (Three Kingdoms: Resurrection of the Dragon),2008
Happy Feet,2006
Be Cool,2005
Whip It,2010
Puss in Boots,2011
Are We Done Yet?,2007
Harry Potter and the Half Blood Prince,2009
The X-Files: I Want to Believe,2008
Silent Hill,2006
The Matrix Reloaded,2004
Noise,2008
Ju-On: The Grudge,2003
The Duchess,2009
Párpados azules,2008
House (2008),2009
Tower Heist,2011
Unstoppable,2010
Predators,2010
Remember Me,2010
Joe Dirt,2001
The Last Castle,2002
Venus,2007
The Bucket List,2008
Texas Killing Fields,2011
The Break-Up,2006
Together,2003
Big Fish,2004
The International,2009
Trouble the Water,2008
Tron Legacy,2010
The Eye,2008
Dream House,2011
Safe (2012),2012
24 Hour Party People,2003
Ayurveda: The Art of Being,2001
Gekijouban Naruto: Buraddo purizun,2011
Atonement,2008
The Lucky One,2012
Ne le dis à personne (Tell No One),2007
She's Out of My League,2010
Majo no takkyûbin (Kiki's Delivery Service),2007
Le Papillon,2003
Our Idiot Brother,2012
Terminator Salvation: The Future Begins,2009
Alvin and the Chipmunks,2008
Kambakkt Ishq,2009
Stan Helsing,2011
The Roommate,2011
Zombieland,2009
The Artist,2011
Matchstick Men,2003
State of Play,2009
A Better Life,2012
Unaccompanied Minors,2006
Trolljegeren (The Troll Hunter),2011
Aeon Flux,2006
Iklimler (Cliimates),2008
Gangs of New York,2003
Yes Man,2009
The Informant,2009
Vantage Point,2008
Insidious,2011
Zookeeper,2011
Deep Water,2007
The Mothman Prophecies,2002
Sex and the City,2008
Changing Lanes,2002
Ice Kacang Puppy Love,2010
Salt,2010
La Influencia,2007
Los ojos de Julia (Julia's Eyes),2011
También la lluvia (Even the Rain),2011
Torque,2004
Leap Year,2010
Pirates of the Caribbean: The Curse of the Black Pearl,2003
Polisse,2012
Taken,2008
Sunshine,2007
Gam yee wai (14 Blades),2010
What Women Want,2001
Biker Boyz,2003
A Dangerous Method,2012
The Recruit,2003
127 Hours,2011
Bill Cunningham New York,2011
The Man From Nowhere,2010
The Lovely Bones,2010
Limitless,2011
Disaster Movie,2008
Sideways,2005
Faster,2010
Dnevnoy dozor (Day Watch),2008
Indiana Jones and the Kingdom of the Crystal Skull,2008
Miss Congeniality 2: Armed and Fabulous,2005
Sen to Chihiro no Kamikakushi (Spirited Away),2003
Ratatouille,2007
Boudu,2005
Beaufort,2008
Buried,2010
Meet Dave,2008
Sucker Punch,2011
No Good Deed (The House on Turk Street),2003
Mr. Nobody,2010
Predators,2010
Maid in Manhattan,2003
Sinav,2006
Luck by Chance,2009
Banlieue 13 (District B13),2005
Inkheart,2009
Spread,2009
Coach Carter,2005
Asylum,2008
Rush Hour 3,2007
Ghost of Mae Nak,2005
Night at the Museum,2007
La Môme (La Vie en Rose),2007
Disco ormene,2010
Quills,2001
The Shaggy Dog,2006
Bitch Slap,2010
Faster,2011
"Yo, también",2010
Gomorra,2008
Swades,2004
Youth Without Youth,2009
Joyeux Noël (Merry Christmas),2007
Koizora (Sky of Love),2007
Butter,2012
Dan in Real Life,2009
B+ jing taam (The Detective 2),2011
It's a Boy Girl Thing,2007
My Little Eye,2002
Black Hawk Down,2002
Africa United,2011
Dark Matter,2009
Hermano,2012
Meet the Fockers,2005
Gegend die Wand (Head-On),2004
Hall Pass,2011
Safety Not Guaranteed,2012
Chô Gekijô-ban Keroro gunsô 3: Keroro tai Keroro Tenkû daikessen de arimasu! (Keroro Gunso the Super Movie 3: Keroro vs. Keroro Great Sky Duel) (2008),2008
I Have Never Forgotten You: The Life & Legacy of Simon Wiesenthal,2007
The Amityville Horror (2005),2005
Underworld Awakening,2012
Arthur (2011),2011
Madagascar 3: Europe's Most Wanted,2012
Sehnsucht (Longing) (2006),2007
Owl and the Sparrow,2008
Withnail & I (1987) (Re),2007
In Bruges,2008
Biutiful,2010
Pryachsya! (Hide!; a.k.a. The Weather Station),2010
Camera Obscura,2008
The Last Exorcism,2010
Me and Orson Welles,2010
A Few Best Men,2012
También la lluvia (Even the Rain),2011
You Will Meet a Tall Dark Stranger,2010
En Mand kommer hjem (A Man Comes Home),2009
Das Weiße Rauschen,2002
X2: X-Men United,2003
The Dark Knight Rises,2012
Ice Age: Continental Drift,2012
Guess Who,2005
Le Conseguenze dell'amore,2004
Street Kings,2008
Un heureux événement (A Happy Event),2012
Vier Minuten (Four Minutes),2007
Shrek Forever After,2010
Evan Almighty,2007
Do Knot Disturb,2009
Trouble with the Curve,2012
A Brand New Life,2011
Hubble 3D,2010
Beastly,2011
Defiance,2009
Letters to Juliet,2010
The Assassination of Richard Nixon,2005
Scary Movie 4,2006
Bol Bachchan,2012
The Hunted,2003
XXX: State of the Union,2005
Max Payne,2008
Drive (2011),2012
The Spirit,2009
Let Me In,2010
Sint,2010
The Artist,2012
Dreamer: Inspired by a True Story,2006
Wild Child,2008
Little Secrets,2003
The Echo,2010
3:10 to Yuma (2007),2007
Unfaithful,2002
Sweeney Todd: The Demon Barber of Fleet Street,2008
The Other Boleyn Girl,2008
Dum Maaro Dum,2011
Mr. & Mrs. Smith,2005
Pretty Persuasion,2005
Thick as Thieves,2010
Predators,2010
The Possession,2012
The Hurt Locker,2009
What Happens in Vegas,2008
The Invisible,2007
Ober,2007
La Nouvelle Guerre des Boutons (War of the Buttons),2012
21,2008
Paycheck,2004
The Seeker: The Dark Is Rising,2007
The Game Plan,2007
La Ragazza del lago,2007
Bride Wars,2009
The Texas Chainsaw Massacre,2004
Bad Teacher,2011
Smokin' Aces,2007
Possession,2002
Dive!!,2009
Somewhere,2011
Turkish Passport,2011
Extract,2009
Ploy,2008
The Fighting Temptations,2003
Fierce People,2007
Hellboy II: The Golden Army,2008
Ju-On: The Grudge,2004
Valentine's Day,2010
Panic Room,2002
The U.S. Vs. John Lennon,2006
Ripoux 3,2004
Tron Legacy,2010
Stomp the Yard,2007
The Fourth Kind,2010
La Môme (La Vie en Rose),2007
Satte Farben vor Schwarz (Colors in the Dark),2011
A Torinói ló (The Turin Horse),2012
Lakeview Terrace,2008
Little Big Soldier,2010
The Limits of Control,2009
The House Bunny,2008
Angel (2007),2007
Saw IV,2007
Wild Child,2009
Happy-Go-Lucky,2010
[REC] 3: Génesis,2012
Honeydripper,2007
Jatt & Juliet,2012
Elf,2003
La source des femmes,2012
Mera Pind,2008
Fast and Furious,2009
Yamla Pagla Deewana,2011
Black Swan,2010
The Ruins,2008
Godsend,2004
The Thing (2011),2012
Red,2010
G-Force,2009
Kingdom of Heaven,2005
Las aventuras de Tadeo Jones,2012
Moneyball,2011
Devil,2010
Samurai Comando 1549 (Sengoku jieitai 1549),2006
Shrek Forever After,2010
The Thing (2011),2011
The Guardian,2007
Intimacy,2001
Les Bronzés 3 - amis pour la vie,2007
Project Nim,2011
My Soul to Take,2010
I Now Pronounce You Chuck and Larry,2007
The Darkest Hour,2012
Barbara (2012),2012
In Time,2011
Perfume - The Story of a Murderer,2006
Joy Division,2009
Por Tu Culpa (It's Your Fault),2010
Chi bi (Red Cliff: Part I),2009
Sinterklaas en het raadsel van 5 december,2011
Argo,2012
The Other Guys,2010
Ice Age: The Meltdown,2006
Legend of the Guardians: The Owls of Ga'Hoole,2010
L'amour dure trois ans,2012
Hævnen (In a Better World),2011
Machine Gun Preacher,2011
The Others,2002
Season of the Witch,2011
Faster,2011
The Men Who Stare at Goats,2009
The Rocker,2008
Bee Season,2006
My Super Ex-Girlfriend,2006
Coffee and Cigarettes,2004
Jack Reacher,2012
Mother and Child,2011
The Way,2012
Protektor,2009
Just My Luck,2006
Coraline,2009
This Means War,2012
Dinner for Schmucks,2010
Flammen og Citronen (Flame & Citron),2008
Fright Night (2011),2011
Le concert (2009),2010
Alien vs. Predator - Requiem,2008
The Italian Job,2003
Femmine contro maschi,2011
Cheung Gong 7 hou (CJ7),2008
Apocalypto,2006
Kismat Konnection,2008
The Water Horse: Legend of the Deep,2008
Vratné lahve,2008
Choses secrètes (Secret Things),2003
Leap Year,2012
Kirschblüten - Hanami (Cherry Blossoms),2008
Dear Wendy,2006
Rien à déclarer (Nothing to Declare),2011
Drive Angry,2011
Sorority Row,2009
Tron Legacy,2010
X-Men: The Last Stand,2006
College,2008
Superman Returns,2006
Australia,2009
The Reaping,2007
Two Weeks Notice,2003
Lie With Me,2007
Horses: The Story of Equus (IMAX),2003
Ripper,2004
Wanted,2008
Before Sunset,2004
Sanctum (3D),2011
La Graine et le mulet (The Secret of the Grain),2008
Barney's Version,2011
The Assassination of Richard Nixon,2006
Mongol,2008
Because I Said So,2007
Tiski,2007
The September Issue,2009
Les Rivières pourpres 2 - Les anges de l'apocalypse,2004
I Hate Valentine's Day,2010
The Invasion,2007
The Tuxedo,2002
Poseidon,2006
Hairspray (2007),2007
The Dust of Time,2011
Prezít svuj zivot (Surviving Life),2011
Lovewrecked,2006
The Fighting Temptations,2004
The Mothman Prophecies,2002
Mission: Impossible - Ghost Protocol,2011
300,2007
Wilbur Wants to Kill Himself,2004
Colombiana,2011
27 Dresses,2008
The Visitor,2008
United 93,2006
Slackers,2002
The Moth Diaries,2012
Saving Silverman,2001
Amintiri din epoca de aur,2010
Inception,2010
Small World,2010
Frygtelig lykkelig (Terribly Happy),2008
Largo Winch 2: The Burma Conspiracy,2011
The Devil Came on Horseback,2008
I Heart Huckabees,2005
Dirty Girl,2012
"Lula, o Filho do Brasil",2010
Il y a longtemps que je t'aime (I've Loved You So Long),2009
In the Valley of Elah,2008
Du Beonjjae Sarang (Never Forever),2007
Flawless (2007),2009
The Chronicles of Narnia: The Voyage of the Dawn Treader,2011
O Ano em que Meus Pais Saíram de Férias (The Year My Parents Went on Vacation),2009
Season of the Witch,2011
Entre lobos,2010
La clé des champs,2011
Mères et filles,2009
Piranha 3D,2010
The Libertine,2006
Good Luck Chuck,2008
Remember the Titans,2001
Imagine Me and You,2006
It's a Wonderful Afterlife,2010
Transformers 3,2011
The Da Vinci Code,2006
Confucius,2011
Just Like Heaven,2005
Chernobyl Diaries,2012
Robot & Frank,2012
Control Room,2004
Sleepover,2004
Vanishing on 7th Street,2011
The Savages,2008
Zvyozdnye sobaki: Belka i Strelka,2010
Cirque Du Soleil: Worlds Away,2012
Venghai,2011
Los Abrazos rotos (Broken Embraces),2009
La Habitación de Fermat,2008
Captivity,2007
Primeval,2007
Alien vs. Predator,2004
Loup,2010
Monster-in-Law,2005
My Way (2011),2012
After.Life,2010
Lady Chatterley,2007
Ovsyanki (Silent Souls),2012
Zookeeper,2011
Friday Night Lights,2005
Daratt,2007
Proof,2006
Adaptation.,2003
Earth (2007),2008
Sams in Gefahr,2004
Immortals,2011
Jin Notti,2009
DIG!,2004
Tears of the Sun,2003
Ugly Aur Pagli,2008
Michael Clayton,2007
The Eagle,2011
Tsar,2009
Chronicle (2012),2012
The Stepford Wives,2004
Found Memories,2012
Den skaldede frisør (Love Is All You Need),2012
Mon meilleur ami (My Best Friend),2007
Un baiser s'il vous plaît (Shall We Kiss?),2008
À perdre la raison (Loving Without Reason),2012
Amadeus (Director's Cut),2002
The Life of David Gale,2003
About a Boy,2002
La cantante de tango (The Tango Singer),2010
O Ano em que Meus Pais Saíram de Férias (The Year My Parents Went on Vacation),2008
Ne le dis à personne (Tell No One),2007
No Strings Attached,2011
La Sconosciuta (The Unknown Woman),2008
Draquila - L'Italia che trema,2010
Die Entdeckung der Currywurst,2008
A.R.O.G,2008
The Accidental Husband,2009
Blue Valentine,2011
Get Smart,2008
Casanova,2006
Keeping Mum,2006
Kûki ningyô (Air Doll),2010
The City of Your Final Destination,2010
Everybody's Fine,2010
Alamar (To The Sea),2010
"Big Mommas: Like Father, Like Son",2011
127 Hours,2011
The Texas Chainsaw Massacre,2004
Shark Night 3D,2011
Harry Potter and the Deathly Hallows (Part Two),2011
Confessions of a Teenage Drama Queen,2004
Valkyrie,2009
Brothers,2009
Versailles,2011
Starsky and Hutch,2004
Faubourg 36 (Paris 36),2011
Kidnap,2008
Fido,2007
Babel,2007
The Phantom of the Opera,2004
Chakravyuh,2012
J. Edgar,2011
Fighter (Aicha),2009
What to Expect When You're Expecting,2012
L'Amore di Marja,2004
Mr. & Mrs. Smith,2005
Wall Street: Money Never Sleeps,2010
Monsieur Lazhar,2012
Qué tan lejos,2008
We Are Family,2010
Open Range,2003
Ole!,2005
Totally Spies,2009
El Baño del Papa (The Pope's Toilet),2008
One Day,2012
American Gangster,2007
Meet Dave,2008
Beginners,2011
One Missed Call,2008
National Lampoon's Gold Diggers,2005
Chronicle (2012),2012
The Spiderwick Chronicles,2008
The Fountain,2007
Step Brothers,2008
Ichimei (Hara-Kiri: Death of a Samurai),2012
Saathiya,2002
The Way of the Gun,2001
Prête-moi ta main (I Do),2006
Megamind,2010
Lake Tahoe,2008
Arranged,2007
Jhoom Barabar Jhoom,2007
Sikgaek 2 (Le Grand Chef 2),2010
Surf's Up,2007
Rize,2005
Across the Universe,2007
"Yours, Mine and Ours",2006
The Prodigies,2011
Midnight in Paris,2011
American Gangster,2008
Monsieur Batignole,2002
13 game sayawng (13 Beloved),2008
40 Days and 40 Nights,2002
Black Christmas (2006),2008
The Best Exotic Marigold Hotel,2012
Spion van Oranje,2009
The Mist,2008
Ben X,2009
Two Men Went to War,2003
Material Girls,2007
Dungeons & Dragons,2001
Soul Kitchen,2011
Guzaarish,2011
Madagascar 3: Europe's Most Wanted,2012
Chin gei bin (The Twins Effect),2005
Rubljovka - Straße zur Glückseligkeit,2007
Jasper und das Limonadenkomplott,2010
Superman Returns,2006
Piranha 3D,2010
The Evil Dead (Re),2003
300,2007
Black Swan,2011
The Fantastic Mr. Fox,2010
Adams æbler (Adam's Apples),2005
The Muppets,2012
Le siffleur (The Whistler),2010
